question_name,question_link,level,type,topic_slug
Diagonal sum,https://www.geeksforgeeks.org/problems/diagonal-sum0158/1?page=1&category=Matrix&sortBy=difficulty,EASY,CLASSWORK,2d-matrices
Sum of elements in a matrix,https://www.geeksforgeeks.org/problems/sum-of-elements-in-a-matrix2000/1?page=1&category=Matrix&sortBy=difficulty,EASY,CLASSWORK,2d-matrices
Row Sum in a Matrix,https://www.geeksforgeeks.org/problems/row-sum-in-a-matrix/1?page=1&category=Matrix&sortBy=difficulty,EASY,CLASSWORK,2d-matrices
Column Sum in a Matrix,https://www.geeksforgeeks.org/problems/column-sum-in-a-matrix/1?page=1&category=Matrix&sortBy=difficulty,EASY,CLASSWORK,2d-matrices
Print Diagonally,https://www.geeksforgeeks.org/problems/print-diagonally4331/1?page=3&category=Matrix&sortBy=difficulty,MEDIUM,CLASSWORK,2d-matrices
Identical Matrices,https://www.geeksforgeeks.org/problems/identical-matrices1042/1?page=1&category=Matrix&sortBy=difficulty,EASY,HOMEWORK,2d-matrices
Sums of i-th row and i-th column,https://www.geeksforgeeks.org/problems/sums-of-i-th-row-and-i-th-column3054/1?page=1&category=Matrix&sortBy=difficulty,EASY,HOMEWORK,2d-matrices
Squares in a Matrix,https://www.geeksforgeeks.org/problems/squares-in-a-matrix5716/1?page=1&category=Matrix&sortBy=difficulty,EASY,HOMEWORK,2d-matrices
Addition of two square matrices,https://www.geeksforgeeks.org/problems/addition-of-two-square-matrices4916/1?page=1&category=Matrix&sortBy=difficulty,EASY,HOMEWORK,2d-matrices
Find difference between sum of diagonals,https://www.geeksforgeeks.org/problems/find-difference-between-sum-of-diagonals1554/1?page=1&category=Matrix&sortBy=difficulty,EASY,HOMEWORK,2d-matrices
Count Sorted Rows,https://www.geeksforgeeks.org/problems/count-sorted-rows2702/1?page=1&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Starting Point,https://www.geeksforgeeks.org/problems/starting-point0909/1?page=1&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Boundary Elements of Matrix,https://www.geeksforgeeks.org/problems/boundary-elements-of-matrix1102/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,CLASSWORK,2d-matrices
Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,HARD,CLASSWORK,2d-matrices
Matrix Boundary Traversal,https://www.geeksforgeeks.org/problems/boundary-traversal-of-matrix-1587115620/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Spirally traversing a matrix,https://www.geeksforgeeks.org/problems/spirally-traversing-a-matrix-1587115621/1?page=4&category=Matrix&sortBy=difficulty,HARD,HOMEWORK,2d-matrices
Reverse Spiral Form of Matrix,https://www.geeksforgeeks.org/problems/reverse-spiral-form-of-matrix4033/1?page=4&category=Matrix&sortBy=difficulty,HARD,HOMEWORK,2d-matrices
Spiral Matrix,https://www.geeksforgeeks.org/problems/spiral-matrix--141631/1?page=6&category=Matrix&sortBy=difficulty,HARD,HOMEWORK,2d-matrices
Spiral Matrix III,https://leetcode.com/problems/spiral-matrix-iii/,HARD,HOMEWORK,2d-matrices
Multiply 2 matrices,https://www.geeksforgeeks.org/problems/multiply-2-matrices4144/1?page=1&category=Matrix&sortBy=difficulty,MEDIUM,CLASSWORK,2d-matrices
Swapping Triangles,https://www.geeksforgeeks.org/problems/swapping-triangles5209/1?page=1&category=Matrix&sortBy=difficulty,EASY,CLASSWORK,2d-matrices
Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree-1587115621/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,CLASSWORK,2d-matrices
Transpose of Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,CLASSWORK,2d-matrices
Interchanging the rows of a Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Rotate a Matrix by 180 Counterclockwise,https://www.geeksforgeeks.org/problems/c-matrix-rotation-by-180-degree0745/1?page=2&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Reversing the columns of a Matrix,https://www.geeksforgeeks.org/problems/reversing-the-columns-of-a-matrix-1587115621/1?page=3&category=Matrix&sortBy=difficulty,MEDIUM,HOMEWORK,2d-matrices
Magic Square,https://www.geeksforgeeks.org/problems/magic-square/1?page=3&category=Matrix&sortBy=difficulty,HARD,HOMEWORK,2d-matrices
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,HARD,CLASSWORK,2d-matrices
Game of Life,https://leetcode.com/problems/game-of-life/,MEDIUM,HOMEWORK,2d-matrices
Number of Laser Beams in a Bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,MEDIUM,HOMEWORK,2d-matrices
Add Binary Strings,https://www.geeksforgeeks.org/problems/add-binary-strings3805/1,MEDIUM,CLASSWORK,bit-manipulations
K-th Bit is Set or Not,https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1,EASY,CLASSWORK,bit-manipulations
Unique Number I,https://www.geeksforgeeks.org/problems/find-unique-number/1,EASY,CLASSWORK,bit-manipulations
Exceptionally odd,https://www.geeksforgeeks.org/problems/find-the-odd-occurence4820/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,CLASSWORK,bit-manipulations
Missing in Array,https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,HOMEWORK,bit-manipulations
First Set Bit,https://www.geeksforgeeks.org/problems/find-first-set-bit-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,HOMEWORK,bit-manipulations
Find position of set bit,https://www.geeksforgeeks.org/problems/find-position-of-set-bit3706/1,EASY,HOMEWORK,bit-manipulations
First and last Bit,https://www.geeksforgeeks.org/problems/first-and-last-bit2357/1,EASY,HOMEWORK,bit-manipulations
Find one extra character,https://www.geeksforgeeks.org/problems/find-one-extra-character/0,EASY,HOMEWORK,bit-manipulations
Play With OR,https://www.geeksforgeeks.org/problems/play-with-or5515/1?page=3&category=Bit%20Magic&sortBy=difficulty,EASY,HOMEWORK,bit-manipulations
Number of 1 Bits,https://www.geeksforgeeks.org/problems/set-bits0143/1,EASY,CLASSWORK,bit-manipulations
Bit Manipulation,https://www.geeksforgeeks.org/problems/bit-manipulation-1666686020/1,EASY,CLASSWORK,bit-manipulations
Count unset bits in a given Range,https://www.geeksforgeeks.org/problems/count-unset-bits-in-a-given-range1216/1,EASY,HOMEWORK,bit-manipulations
Set all the bits in given range of a number,https://www.geeksforgeeks.org/problems/set-all-the-bits-in-given-range-of-a-number4538/1?page=4&category=Bit%20Magic&sortBy=difficulty,EASY,HOMEWORK,bit-manipulations
Bit Difference,https://www.geeksforgeeks.org/problems/bit-difference-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,HOMEWORK,bit-manipulations
Longest Consecutive 1's,https://www.geeksforgeeks.org/problems/longest-consecutive-1s-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,HOMEWORK,bit-manipulations
Power of 2,https://www.geeksforgeeks.org/problems/power-of-2-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,EASY,HOMEWORK,bit-manipulations
C++ Nega Bit,https://www.geeksforgeeks.org/problems/c-nega-bit2019/1,EASY,HOMEWORK,bit-manipulations
Bitwise OR in a given Range,https://www.geeksforgeeks.org/problems/ishaans-curiosity0853/1?page=4&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Is Binary Number Multiple of 3,https://www.geeksforgeeks.org/problems/is-binary-number-multiple-of-30654/1?page=1&category=Bit%20Magic&sortBy=submissions,MEDIUM,HOMEWORK,bit-manipulations
Bleak Numbers,https://www.geeksforgeeks.org/problems/bleak-numbers1552/1?page=2&category=Bit%20Magic&sortBy=submissions,MEDIUM,HOMEWORK,bit-manipulations
Unique Number III,https://www.geeksforgeeks.org/problems/find-element-occuring-once-when-all-other-are-present-thrice/1,MEDIUM,CLASSWORK,bit-manipulations
Unique Number II,https://www.geeksforgeeks.org/problems/finding-the-numbers0215/1,MEDIUM,CLASSWORK,bit-manipulations
Akku and Binary Numbers,https://www.geeksforgeeks.org/problems/akku-and-binary-numbers0902/1?page=6&category=Bit%20Magic&sortBy=difficulty,HARD,HOMEWORK,bit-manipulations
Even Subsets,https://www.geeksforgeeks.org/problems/even-subsets/1?page=4&category=Bit%20Magic&sortBy=difficulty,MEDIUM,CLASSWORK,bit-manipulations
Missing And Repeating,https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,MEDIUM,CLASSWORK,bit-manipulations
Print all bitwise subsets of a number N,https://www.geeksforgeeks.org/problems/print-all-bitwise-subsets-of-a-number-n3301/1?page=3&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Sum of XOR of all pairs,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-pairs0723/1,MEDIUM,CLASSWORK,bit-manipulations
Total Hamming Distance,https://www.geeksforgeeks.org/problems/total-hamming-distance/1?page=5&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Sum of bit differences,https://www.geeksforgeeks.org/problems/sum-of-bit-differences2937/1?page=5&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Minimum X (xor) A,https://www.geeksforgeeks.org/problems/minimum-x-xor-a--170645/1?page=5&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Sum of Products,https://www.geeksforgeeks.org/problems/sum-of-products5049/1?page=6&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Sum of XOR of all possible subsets,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=6&category=Bit%20Magic&sortBy=difficulty,HARD,HOMEWORK,bit-manipulations
Maximum XOR of two numbers in an array,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=6&category=Bit%20Magic&sortBy=difficulty,HARD,HOMEWORK,bit-manipulations
Minimum XOR value pair,https://www.geeksforgeeks.org/problems/minimum-xor-value-pair/1,EASY,CLASSWORK,bit-manipulations
Maximum AND Value,https://www.geeksforgeeks.org/problems/maximum-and-value2637/1,MEDIUM,CLASSWORK,bit-manipulations
